Object,Germany,,Person,,,"['Unknown']"
Death Cab for Cutie,USA,,Group,1997,,"['Rock','Indie','Pop']"
Lutricia McNeal,USA,Female,Person,1973-11-27,,"['Rock','Pop','Classic']"
Lost Penguin,Unknown,,Group,,,"['Unknown']"
King Diamond,Denmark,,Group,1985,,"['Unknown']"
Fortification 55,Unknown,,Group,,,"['Unknown']"
Elvis Presley,USA,Male,Person,1935-01-08,1977-08-16,"['Classic','Rock','Country','Soul','Blues','Pop','Gospel']"
The Gap Band,USA,,Group,1967,2010,"['Rock','Pop','Classic']"
Old Crow Medicine Show,USA,,Group,1998,,"['Folk','Country']"
Tryad,Unknown,,Group,2005-01,,"['Unknown']"
Richard Hawley,United Kingdom,Male,Person,1967-01-17,,"['Rock','Indie']"
Manowar,USA,,Group,1980,,"['Metal']"
Sciflyer,Unknown,,Group,,,"['Unknown']"
Get Cape. Wear Cape. Fly,United Kingdom,Male,Person,1986-01-30,,"['Rock','Indie']"
Sufjan Stevens,USA,Male,Person,1975-07-01,,"['Rock','Chamber','Indie','Instrumental','Pop','Folk']"
Самое Большое Простое Число,Unknown,,Group,1984-08-26,,"['Unknown']"
Strange Fruit Project,USA,,Group,,,"['Unknown']"
Collie Buddz,Bermuda,Male,Person,1981-08-21,,"['Soul','Reggae']"
Audioslave,USA,,Group,2001,2007-02-15,"['Rock','Indie','Alternative','Metal']"
Erdmöbel,Germany,,Group,1995,,"['Pop']"
Saddar Bazaar,United Kingdom,,Group,,,"['Unknown']"
Normaal,Netherlands,,Group,1975,,"['Rock']"
Ultra Naté,USA,Female,Person,1968-03-20,,"['Rock','Indie']"
Zoë Keating,Canada,Female,Person,1972-02-02,,"['Instrumental']"
Antischism,USA,,Group,,,"['Punk']"
Cocteau Twins,United Kingdom,,Group,1981,1998,"['Classic','Ethereal','Rock','Punk','Pop','Ambient']"
Chantay Savage,USA,Female,Person,1971,,"['Unknown']"
Greg MacPherson Band,Unknown,,Group,,,"['Unknown']"
Strung Out,USA,,Group,1992,,"['Punk']"
The Horrors,United Kingdom,,Group,2005,,"['Unknown']"
Blacklisted,Unknown,,,,,"['Rock','Indie']"
